% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.497	1	1	150	8	1	28	2196	0	0	0
1.498	1	1	150	9	1	28	2196	0	0	0
1.499	1	1	150	10	1	28	2196	0	0	0
1.503	1	1	151	4	1	28	2196	0	0	0
1.504	1	1	151	5	1	28	2196	0	0	0
1.505	1	1	151	6	1	28	2196	0	0	0
1.506	1	1	151	7	1	28	2196	0	0	0
1.507	1	1	151	8	1	28	2196	0	0	0
1.508	1	1	151	9	1	28	2196	0	0	0
1.509	1	1	151	10	1	28	2196	0	0	0
1.51	1	1	152	1	1	28	2196	0	0	0
1.511	1	1	152	2	1	28	2196	0	0	0
1.512	1	1	152	3	1	28	2196	0	0	0
1.513	1	1	152	4	1	28	2196	0	0	0
1.514	1	1	152	5	1	28	2196	0	0	0
1.515	1	1	152	6	1	28	2196	0	0	0
1.516	1	1	152	7	1	28	2196	0	0	0
1.517	1	1	152	8	1	28	2196	0	0	0
1.518	1	1	152	9	1	28	2196	0	0	0
1.519	1	1	152	10	1	28	2196	0	0	0
1.52	1	1	153	1	1	28	2196	0	0	0
1.521	1	1	153	2	1	28	2196	0	0	0
1.522	1	1	153	3	1	28	2196	0	0	0
1.523	1	1	153	4	1	28	2196	0	0	0
1.524	1	1	153	5	1	28	2196	0	0	0
1.525	1	1	153	6	1	28	2196	0	0	0
1.526	1	1	153	7	1	28	2196	0	0	0
1.527	1	1	153	8	1	28	2196	0	0	0
1.528	1	1	153	9	1	28	2196	0	0	0
1.529	1	1	153	10	1	28	2196	0	0	0
1.53	1	1	154	1	1	28	2196	0	0	0
1.531	1	1	154	2	1	28	2196	0	0	0
1.532	1	1	154	3	1	28	2196	0	0	0
1.533	1	1	154	4	1	28	2196	0	0	0
1.534	1	1	154	5	1	28	2196	0	0	0
1.537	1	1	154	8	1	28	2196	0	0	0
1.539	1	1	154	10	1	28	2196	0	0	0
1.54	1	1	155	1	1	28	2196	0	0	0
1.541	1	1	155	2	1	28	2196	0	0	0
1.543	1	1	155	4	1	28	2196	0	0	0
1.544	1	1	155	5	1	28	2196	0	0	0
1.545	1	1	155	6	1	28	2196	0	0	0
1.546	1	1	155	7	1	28	2196	0	0	0
1.547	1	1	155	8	1	28	2196	0	0	0
1.548	1	1	155	9	1	28	2196	0	0	0
1.549	1	1	155	10	1	28	2196	0	0	0
1.55	1	1	156	1	1	28	2196	0	0	0
1.551	1	1	156	2	1	28	2196	0	0	0
1.552	1	1	156	3	1	28	2196	0	0	0
1.553	1	1	156	4	1	28	2196	0	0	0
1.554	1	1	156	5	1	28	2196	0	0	0
1.555	1	1	156	6	1	28	2196	0	0	0
1.556	1	1	156	7	1	28	2196	0	0	0
1.557	1	1	156	8	1	28	2196	0	0	0
1.558	1	1	156	9	1	28	2196	0	0	0
1.559	1	1	156	10	1	28	2196	0	0	0
1.56	1	1	157	1	1	28	2196	0	0	0
1.561	1	1	157	2	1	28	2196	0	0	0
1.562	1	1	157	3	1	28	2196	0	0	0
1.563	1	1	157	4	1	28	2196	0	0	0
1.564	1	1	157	5	1	28	2196	0	0	0
1.565	1	1	157	6	1	28	2196	0	0	0
1.566	1	1	157	7	1	28	2196	0	0	0
1.567	1	1	157	8	1	28	2196	0	0	0
1.568	1	1	157	9	1	28	2196	0	0	0
1.569	1	1	157	10	1	28	2196	0	0	0
1.57	1	1	158	1	1	28	2196	0	0	0
1.571	1	1	158	2	1	28	2196	0	0	0
1.572	1	1	158	3	1	28	2196	0	0	0
1.573	1	1	158	4	1	28	2196	0	0	0
1.574	1	1	158	5	1	28	2196	0	0	0
1.575	1	1	158	6	1	28	2196	0	0	0
1.576	1	1	158	7	1	28	2196	0	0	0
1.577	1	1	158	8	1	28	2196	0	0	0
1.578	1	1	158	9	1	28	2196	0	0	0
1.579	1	1	158	10	1	28	2196	0	0	0
1.58	1	1	159	1	1	28	2196	0	0	0
1.581	1	1	159	2	1	28	2196	0	0	0
1.582	1	1	159	3	1	28	2196	0	0	0
1.583	1	1	159	4	1	28	2196	0	0	0
1.584	1	1	159	5	1	28	2196	0	0	0
1.585	1	1	159	6	1	28	2196	0	0	0
1.586	1	1	159	7	1	28	2196	0	0	0
1.587	1	1	159	8	1	28	2196	0	0	0
1.588	1	1	159	9	1	28	2196	0	0	0
1.589	1	1	159	10	1	28	2196	0	0	0
1.59	1	1	160	1	1	28	2196	0	0	0
1.591	1	1	160	2	1	28	2196	0	0	0
1.592	1	1	160	3	1	28	2196	0	0	0
1.593	1	1	160	4	1	28	2196	0	0	0
1.594	1	1	160	5	1	28	2196	0	0	0
1.595	1	1	160	6	1	28	2196	0	0	0
1.596	1	1	160	7	1	28	2196	0	0	0
1.597	1	1	160	8	1	28	2196	0	0	0
1.598	1	1	160	9	1	28	2196	0	0	0
1.599	1	1	160	10	1	28	2196	0	0	0
1.6	1	1	161	1	1	28	2196	0	0	0
1.601	1	1	161	2	1	28	2196	0	0	0
1.602	1	1	161	3	1	28	2196	0	0	0
1.603	1	1	161	4	1	28	2196	0	0	0
1.604	1	1	161	5	1	28	2196	0	0	0
1.605	1	1	161	6	1	28	2196	0	0	0
1.606	1	1	161	7	1	28	2196	0	0	0
1.607	1	1	161	8	1	28	2196	0	0	0
1.608	1	1	161	9	1	28	2196	0	0	0
1.609	1	1	161	10	1	28	2196	0	0	0
1.61	1	1	162	1	1	28	2196	0	0	0
1.611	1	1	162	2	1	28	2196	0	0	0
1.612	1	1	162	3	1	28	2196	0	0	0
1.613	1	1	162	4	1	28	2196	0	0	0
1.614	1	1	162	5	1	28	2196	0	0	0
1.615	1	1	162	6	1	28	2196	0	0	0
1.616	1	1	162	7	1	28	2196	0	0	0
1.617	1	1	162	8	1	28	2196	0	0	0
1.618	1	1	162	9	1	28	2196	0	0	0
1.62	1	1	163	1	1	28	2196	0	0	0
1.621	1	1	163	2	1	28	2196	0	0	0
1.623	1	1	163	4	1	28	2196	0	0	0
1.624	1	1	163	5	1	28	2196	0	0	0
1.625	1	1	163	6	1	28	2196	0	0	0
1.626	1	1	163	7	1	28	2196	0	0	0
1.627	1	1	163	8	1	28	2196	0	0	0
1.628	1	1	163	9	1	28	2196	0	0	0
1.629	1	1	163	10	1	28	2196	0	0	0
1.631	1	1	164	2	1	28	2196	0	0	0
1.632	1	1	164	3	1	28	2196	0	0	0
1.633	1	1	164	4	1	28	2196	0	0	0
1.634	1	1	164	5	1	28	2196	0	0	0
1.635	1	1	164	6	1	28	2196	0	0	0
1.636	1	1	164	7	1	28	2196	0	0	0
1.637	1	1	164	8	1	28	2196	0	0	0
1.638	1	1	164	9	1	28	2196	0	0	0
1.639	1	1	164	10	1	28	2196	0	0	0
1.64	1	1	165	1	1	28	2196	0	0	0
1.641	1	1	165	2	1	28	2196	0	0	0
1.642	1	1	165	3	1	28	2196	0	0	0
1.643	1	1	165	4	1	28	2196	0	0	0
1.644	1	1	165	5	1	28	2196	0	0	0
1.645	1	1	165	6	1	28	2196	0	0	0
1.646	1	1	165	7	1	28	2196	0	0	0
1.647	1	1	165	8	1	28	2196	0	0	0
1.648	1	1	165	9	1	28	2196	0	0	0
1.649	1	1	165	10	1	28	2196	0	0	0
1.65	1	1	166	1	1	28	2196	0	0	0
1.651	1	1	166	2	1	28	2196	0	0	0
1.652	1	1	166	3	1	28	2196	0	0	0
1.653	1	1	166	4	1	28	2196	0	0	0
1.654	1	1	166	5	1	28	2196	0	0	0
1.655	1	1	166	6	1	28	2196	0	0	0
1.656	1	1	166	7	1	28	2196	0	0	0
1.657	1	1	166	8	1	28	2196	0	0	0
1.658	1	1	166	9	1	28	2196	0	0	0
1.659	1	1	166	10	1	28	2196	0	0	0
1.66	1	1	167	1	1	28	2196	0	0	0
1.661	1	1	167	2	1	28	2196	0	0	0
1.662	1	1	167	3	1	28	2196	0	0	0
1.663	1	1	167	4	1	28	2196	0	0	0
1.664	1	1	167	5	1	28	2196	0	0	0
1.665	1	1	167	6	1	28	2196	0	0	0
1.666	1	1	167	7	1	28	2196	0	0	0
1.667	1	1	167	8	1	28	2196	0	0	0
1.668	1	1	167	9	1	28	2196	0	0	0
1.669	1	1	167	10	1	28	2196	0	0	0
1.67	1	1	168	1	1	28	2196	0	0	0
1.671	1	1	168	2	1	28	2196	0	0	0
1.672	1	1	168	3	1	28	2196	0	0	0
1.673	1	1	168	4	1	28	2196	0	0	0
1.674	1	1	168	5	1	28	2196	0	0	0
1.675	1	1	168	6	1	28	2196	0	0	0
1.676	1	1	168	7	1	28	2196	0	0	0
1.677	1	1	168	8	1	28	2196	0	0	0
1.678	1	1	168	9	1	28	2196	0	0	0
1.679	1	1	168	10	1	28	2196	0	0	0
1.68	1	1	169	1	1	28	2196	0	0	0
1.681	1	1	169	2	1	28	2196	0	0	0
1.682	1	1	169	3	1	28	2196	0	0	0
1.683	1	1	169	4	1	28	2196	0	0	0
1.686	1	1	169	7	1	28	2196	0	0	0
1.687	1	1	169	8	1	28	2196	0	0	0
1.688	1	1	169	9	1	28	2196	0	0	0
1.689	1	1	169	10	1	28	2196	0	0	0
1.69	1	1	170	1	1	28	2196	0	0	0
1.691	1	1	170	2	1	28	2196	0	0	0
1.693	1	1	170	4	1	28	2196	0	0	0
1.694	1	1	170	5	1	28	2196	0	0	0
1.695	1	1	170	6	1	28	2196	0	0	0
1.696	1	1	170	7	1	28	2196	0	0	0
1.697	1	1	170	8	1	28	2196	0	0	0
1.698	1	1	170	9	1	28	2196	0	0	0
1.699	1	1	170	10	1	28	2196	0	0	0
1.7	1	1	171	1	1	28	2196	0	0	0
1.701	1	1	171	2	1	28	2196	0	0	0
1.702	1	1	171	3	1	28	2196	0	0	0
1.703	1	1	171	4	1	28	2196	0	0	0
1.706	1	1	171	7	1	28	2196	0	0	0
1.707	1	1	171	8	1	28	2196	0	0	0
1.708	1	1	171	9	1	28	2196	0	0	0
1.709	1	1	171	10	1	28	2196	0	0	0
1.71	1	1	172	1	1	28	2196	0	0	0
1.713	1	1	172	4	1	28	2196	0	0	0
1.714	1	1	172	5	1	28	2196	0	0	0
1.715	1	1	172	6	1	28	2196	0	0	0
1.718	1	1	172	9	1	28	2196	0	0	0
1.719	1	1	172	10	1	28	2196	0	0	0
1.72	1	1	173	1	1	28	2196	0	0	0
1.721	1	1	173	2	1	28	2196	0	0	0
1.722	1	1	173	3	1	28	2196	0	0	0
1.723	1	1	173	4	1	28	2196	0	0	0
1.724	1	1	173	5	1	28	2196	0	0	0
1.725	1	1	173	6	1	28	2196	0	0	0
1.726	1	1	173	7	1	28	2196	0	0	0
1.727	1	1	173	8	1	28	2196	0	0	0
1.728	1	1	173	9	1	28	2196	0	0	0
1.729	1	1	173	10	1	28	2196	0	0	0
1.734	1	1	174	5	1	28	2196	0	0	0
1.735	1	1	174	6	1	28	2196	0	0	0
1.736	1	1	174	7	1	28	2196	0	0	0
1.737	1	1	174	8	1	28	2196	0	0	0
1.738	1	1	174	9	1	28	2196	0	0	0
1.739	1	1	174	10	1	28	2196	0	0	0
1.74	1	1	175	1	1	28	2196	0	0	0
1.741	1	1	175	2	1	28	2196	0	0	0
1.742	1	1	175	3	1	28	2196	0	0	0
1.743	1	1	175	4	1	28	2196	0	0	0
1.744	1	1	175	5	1	28	2196	0	0	0
1.745	1	1	175	6	1	28	2196	0	0	0
1.746	1	1	175	7	1	28	2196	0	0	0
1.747	1	1	175	8	1	28	2196	0	0	0
1.748	1	1	175	9	1	28	2196	0	0	0
1.749	1	1	175	10	1	28	2196	0	0	0
1.754	1	1	176	5	1	28	2196	0	0	0
1.755	1	1	176	6	1	28	2196	0	0	0
1.756	1	1	176	7	1	28	2196	0	0	0
1.769	1	1	177	10	1	28	2196	0	0	0
1.77	1	1	178	1	1	28	2196	0	0	0
1.771	1	1	178	2	1	28	2196	0	0	0
1.772	1	1	178	3	1	28	2196	0	0	0
1.773	1	1	178	4	1	28	2196	0	0	0
1.774	1	1	178	5	1	28	2196	0	0	0
1.787	1	1	179	8	1	28	2196	0	0	0
1.789	1	1	179	10	1	28	2196	0	0	0
1.79	1	1	180	1	1	28	2196	0	0	0
1.791	1	1	180	2	1	28	2196	0	0	0
1.792	1	1	180	3	1	28	2196	0	0	0
1.793	1	1	180	4	1	28	2196	0	0	0
1.794	1	1	180	5	1	28	2196	0	0	0
1.795	1	1	180	6	1	28	2196	0	0	0
1.796	1	1	180	7	1	28	2196	0	0	0
1.797	1	1	180	8	1	28	2196	0	0	0
1.798	1	1	180	9	1	28	2196	0	0	0
1.799	1	1	180	10	1	28	2196	0	0	0
1.8	1	1	181	1	1	28	2196	0	0	0
1.801	1	1	181	2	1	28	2196	0	0	0
1.802	1	1	181	3	1	28	2196	0	0	0
1.803	1	1	181	4	1	28	2196	0	0	0
1.804	1	1	181	5	1	28	2196	0	0	0
1.805	1	1	181	6	1	28	2196	0	0	0
1.806	1	1	181	7	1	28	2196	0	0	0
1.807	1	1	181	8	1	28	2196	0	0	0
1.808	1	1	181	9	1	28	2196	0	0	0
1.809	1	1	181	10	1	28	2196	0	0	0
1.81	1	1	182	1	1	28	2196	0	0	0
1.811	1	1	182	2	1	28	2196	0	0	0
1.812	1	1	182	3	1	28	2196	0	0	0
1.813	1	1	182	4	1	28	2196	0	0	0
1.814	1	1	182	5	1	28	2196	0	0	0
1.815	1	1	182	6	1	28	2196	0	0	0
1.816	1	1	182	7	1	28	2196	0	0	0
1.817	1	1	182	8	1	28	2196	0	0	0
1.818	1	1	182	9	1	28	2196	0	0	0
1.819	1	1	182	10	1	28	2196	0	0	0
1.82	1	1	183	1	1	28	2196	0	0	0
1.821	1	1	183	2	1	28	2196	0	0	0
1.822	1	1	183	3	1	28	2196	0	0	0
1.823	1	1	183	4	1	28	2196	0	0	0
1.824	1	1	183	5	1	28	2196	0	0	0
1.825	1	1	183	6	1	28	2196	0	0	0
1.826	1	1	183	7	1	28	2196	0	0	0
1.827	1	1	183	8	1	28	2196	0	0	0
1.828	1	1	183	9	1	28	2196	0	0	0
1.829	1	1	183	10	1	28	2196	0	0	0
1.83	1	1	184	1	1	28	2196	0	0	0
1.831	1	1	184	2	1	28	2196	0	0	0
1.832	1	1	184	3	1	28	2196	0	0	0
1.833	1	1	184	4	1	28	2196	0	0	0
1.834	1	1	184	5	1	28	2196	0	0	0
1.835	1	1	184	6	1	28	2196	0	0	0
1.836	1	1	184	7	1	28	2196	0	0	0
1.837	1	1	184	8	1	28	2196	0	0	0
1.838	1	1	184	9	1	28	2196	0	0	0
1.839	1	1	184	10	1	28	2196	0	0	0
1.84	1	1	185	1	1	28	2196	0	0	0
1.841	1	1	185	2	1	28	2196	0	0	0
1.842	1	1	185	3	1	28	2196	0	0	0
1.843	1	1	185	4	1	28	2196	0	0	0
1.844	1	1	185	5	1	28	2196	0	0	0
1.845	1	1	185	6	1	28	2196	0	0	0
1.846	1	1	185	7	1	28	2196	0	0	0
1.847	1	1	185	8	1	28	2196	0	0	0
1.848	1	1	185	9	1	28	2196	0	0	0
1.849	1	1	185	10	1	28	2196	0	0	0
1.85	1	1	186	1	1	28	2196	0	0	0
1.851	1	1	186	2	1	28	2196	0	0	0
1.852	1	1	186	3	1	28	2196	0	0	0
1.853	1	1	186	4	1	28	2196	0	0	0
1.854	1	1	186	5	1	28	2196	0	0	0
1.855	1	1	186	6	1	28	2196	0	0	0
1.856	1	1	186	7	1	28	2196	0	0	0
1.857	1	1	186	8	1	28	2196	0	0	0
1.858	1	1	186	9	1	28	2196	0	0	0
1.859	1	1	186	10	1	28	2196	0	0	0
1.86	1	1	187	1	1	28	2196	0	0	0
1.861	1	1	187	2	1	28	2196	0	0	0
1.862	1	1	187	3	1	28	2196	0	0	0
1.863	1	1	187	4	1	28	2196	0	0	0
1.864	1	1	187	5	1	28	2196	0	0	0
1.865	1	1	187	6	1	28	2196	0	0	0
1.866	1	1	187	7	1	28	2196	0	0	0
1.867	1	1	187	8	1	28	2196	0	0	0
1.868	1	1	187	9	1	28	2196	0	0	0
1.869	1	1	187	10	1	28	2196	0	0	0
1.87	1	1	188	1	1	28	2196	0	0	0
1.871	1	1	188	2	1	28	2196	0	0	0
1.872	1	1	188	3	1	28	2196	0	0	0
1.873	1	1	188	4	1	28	2196	0	0	0
1.874	1	1	188	5	1	28	2196	0	0	0
1.875	1	1	188	6	1	28	2196	0	0	0
1.876	1	1	188	7	1	28	2196	0	0	0
1.877	1	1	188	8	1	28	2196	0	0	0
1.878	1	1	188	9	1	28	2196	0	0	0
1.879	1	1	188	10	1	28	2196	0	0	0
1.88	1	1	189	1	1	28	2196	0	0	0
1.881	1	1	189	2	1	28	2196	0	0	0
1.882	1	1	189	3	1	28	2196	0	0	0
1.883	1	1	189	4	1	28	2196	0	0	0
1.884	1	1	189	5	1	28	2196	0	0	0
1.885	1	1	189	6	1	28	2196	0	0	0
1.886	1	1	189	7	1	28	2196	0	0	0
1.887	1	1	189	8	1	28	2196	0	0	0
1.888	1	1	189	9	1	28	2196	0	0	0
1.889	1	1	189	10	1	28	2196	0	0	0
1.89	1	1	190	1	1	28	2196	0	0	0
1.891	1	1	190	2	1	28	2196	0	0	0
1.892	1	1	190	3	1	28	2196	0	0	0
1.893	1	1	190	4	1	28	2196	0	0	0
1.894	1	1	190	5	1	28	2196	0	0	0
1.895	1	1	190	6	1	28	2196	0	0	0
1.896	1	1	190	7	1	28	2196	0	0	0
1.897	1	1	190	8	1	28	2196	0	0	0
1.898	1	1	190	9	1	28	2196	0	0	0
1.899	1	1	190	10	1	28	2196	0	0	0
1.9	1	1	191	1	1	28	2196	0	0	0
1.901	1	1	191	2	1	28	2196	0	0	0
1.902	1	1	191	3	1	28	2196	0	0	0
1.903	1	1	191	4	1	28	2196	0	0	0
1.904	1	1	191	5	1	28	2196	0	0	0
1.905	1	1	191	6	1	28	2196	0	0	0
1.906	1	1	191	7	1	28	2196	0	0	0
1.907	1	1	191	8	1	28	2196	0	0	0
1.908	1	1	191	9	1	28	2196	0	0	0
1.909	1	1	191	10	1	28	2196	0	0	0
1.91	1	1	192	1	1	28	2196	0	0	0
1.911	1	1	192	2	1	28	2196	0	0	0
1.912	1	1	192	3	1	28	2196	0	0	0
1.913	1	1	192	4	1	28	2196	0	0	0
1.914	1	1	192	5	1	28	2196	0	0	0
1.915	1	1	192	6	1	28	2196	0	0	0
1.916	1	1	192	7	1	28	2196	0	0	0
1.917	1	1	192	8	1	28	2196	0	0	0
1.918	1	1	192	9	1	28	2196	0	0	0
1.919	1	1	192	10	1	28	2196	0	0	0
1.92	1	1	193	1	1	28	2196	0	0	0
1.921	1	1	193	2	1	28	2196	0	0	0
1.922	1	1	193	3	1	28	2196	0	0	0
1.923	1	1	193	4	1	28	2196	0	0	0
1.924	1	1	193	5	1	28	2196	0	0	0
1.925	1	1	193	6	1	28	2196	0	0	0
1.926	1	1	193	7	1	28	2196	0	0	0
1.927	1	1	193	8	1	28	2196	0	0	0
1.928	1	1	193	9	1	28	2196	0	0	0
1.929	1	1	193	10	1	28	2196	0	0	0
1.93	1	1	194	1	1	28	2196	0	0	0
1.931	1	1	194	2	1	28	2196	0	0	0
1.932	1	1	194	3	1	28	2196	0	0	0
1.933	1	1	194	4	1	28	2196	0	0	0
1.934	1	1	194	5	1	28	2196	0	0	0
1.935	1	1	194	6	1	28	2196	0	0	0
1.936	1	1	194	7	1	28	2196	0	0	0
1.937	1	1	194	8	1	28	2196	0	0	0
1.938	1	1	194	9	1	28	2196	0	0	0
1.939	1	1	194	10	1	28	2196	0	0	0
1.94	1	1	195	1	1	28	2196	0	0	0
1.941	1	1	195	2	1	28	2196	0	0	0
1.942	1	1	195	3	1	28	2196	0	0	0
1.943	1	1	195	4	1	28	2196	0	0	0
1.944	1	1	195	5	1	28	2196	0	0	0
1.945	1	1	195	6	1	28	2196	0	0	0
1.946	1	1	195	7	1	28	2196	0	0	0
1.947	1	1	195	8	1	28	2196	0	0	0
1.948	1	1	195	9	1	28	2196	0	0	0
1.949	1	1	195	10	1	28	2196	0	0	0
1.95	1	1	196	1	1	28	2196	0	0	0
1.951	1	1	196	2	1	28	2196	0	0	0
1.952	1	1	196	3	1	28	2196	0	0	0
1.953	1	1	196	4	1	28	2196	0	0	0
1.954	1	1	196	5	1	28	2196	0	0	0
1.955	1	1	196	6	1	28	2196	0	0	0
1.956	1	1	196	7	1	28	2196	0	0	0
1.957	1	1	196	8	1	28	2196	0	0	0
1.958	1	1	196	9	1	28	2196	0	0	0
1.959	1	1	196	10	1	28	2196	0	0	0
1.96	1	1	197	1	1	28	2196	0	0	0
1.961	1	1	197	2	1	28	2196	0	0	0
1.962	1	1	197	3	1	28	2196	0	0	0
1.963	1	1	197	4	1	28	2196	0	0	0
1.964	1	1	197	5	1	28	2196	0	0	0
1.965	1	1	197	6	1	28	2196	0	0	0
1.966	1	1	197	7	1	28	2196	0	0	0
1.967	1	1	197	8	1	28	2196	0	0	0
1.968	1	1	197	9	1	28	2196	0	0	0
1.969	1	1	197	10	1	28	2196	0	0	0
1.97	1	1	198	1	1	28	2196	0	0	0
1.971	1	1	198	2	1	28	2196	0	0	0
1.972	1	1	198	3	1	28	2196	0	0	0
1.973	1	1	198	4	1	28	2196	0	0	0
1.974	1	1	198	5	1	28	2196	0	0	0
1.975	1	1	198	6	1	28	2196	0	0	0
1.976	1	1	198	7	1	28	2196	0	0	0
1.977	1	1	198	8	1	28	2196	0	0	0
1.978	1	1	198	9	1	28	2196	0	0	0
1.979	1	1	198	10	1	28	2196	0	0	0
1.98	1	1	199	1	1	28	2196	0	0	0
1.981	1	1	199	2	1	28	2196	0	0	0
1.982	1	1	199	3	1	28	2196	0	0	0
1.983	1	1	199	4	1	28	2196	0	0	0
1.984	1	1	199	5	1	28	2196	0	0	0
1.985	1	1	199	6	1	28	2196	0	0	0
1.986	1	1	199	7	1	28	2196	0	0	0
1.987	1	1	199	8	1	28	2196	0	0	0
1.988	1	1	199	9	1	28	2196	0	0	0
1.989	1	1	199	10	1	28	2196	0	0	0
1.99	1	1	200	1	1	28	2196	0	0	0
1.991	1	1	200	2	1	28	2196	0	0	0
1.992	1	1	200	3	1	28	2196	0	0	0
1.993	1	1	200	4	1	28	2196	0	0	0
1.994	1	1	200	5	1	28	2196	0	0	0
