% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
1	2	1	1	1	4	483	912203	458	869609	0.003	0	0.003	0.003	1898.71	722.387	2	2196	
2	3	1	1	1	4	842	1681206	733	1459603	0.003	0	0.003	0.003	1991.27	634.535	2	2196	
3	4	1	1	1	4	720	1461129	559	1129626	0.003	0	0.003	0.003	2020.8	581.702	2	2196	
4	5	3	1	1	4	403	799066	188	355985	0.003	0	0.003	0.003	1893.54	736.813	2	2196	
5	6	3	1	1	4	90	90730	73	71576	0.003	0	0.003	0.003	980.493	969.163	2	2196	
6	7	3	1	1	4	153	216202	117	146993	0.003	0	0.003	0.003	1256.35	988.679	2	2196	
7	8	3	1	1	4	187	332210	103	174167	0.003	0	0.003	0.003	1690.94	847.214	2	2196	
8	9	4	1	1	4	8	7117	7	7115	0.003	0	0.003	0.003	1016.43	816.572	2	1777	
9	10	4	1	1	4	54	94238	23	35289	0.003	0	0.003	0.003	1534.3	935.158	2	2196	
10	11	5	1	1	4	20	19574	17	17200	0.003	0	0.003	0.003	1011.76	901.462	2	2196	
11	12	6	1	1	4	86	88255	51	49002	0.003	0	0.003	0.003	960.824	932.457	2	2196	
12	13	6	1	1	4	57	64827	37	38978	0.003	0	0.003	0.003	1053.46	960.182	2	2196	
13	14	7	1	1	4	22	15435	10	6531	0.003	0	0.003	0.003	653.1	588.49	2	1777	
14	15	8	1	1	4	88	98221	80	86190	0.003	0	0.003	0.003	1077.38	956.086	2	2196	
15	16	8	1	1	4	227	346644	205	308187	0.003	0	0.003	0.003	1503.35	917.187	2	2196	
16	17	8	1	1	4	216	377241	136	227836	0.003	0	0.003	0.003	1675.26	888.92	2	2196	
17	18	8	1	1	4	9	16596	6	10982	0.003	0	0.003	0.003	1830.33	895.697	2	2196	
18	19	10	1	1	4	140	184757	129	177283	0.003	0	0.003	0.003	1374.29	929.996	2	2196	
19	20	10	1	1	4	248	437835	233	406738	0.003	0	0.003	0.003	1745.66	816.16	2	2196	
